,idhod,hodnota,ukaz_kod,vzdelani_cis,vzdelani_kod,vek_cis,vek_kod,pohlavi_cis,pohlavi_kod,uzemi_cis,uzemi_kod,sldb_rok,sldb_datum,ukaz_txt,vzdelani_txt,vek_txt,pohlavi_txt,uzemi_txt,uzemi_typ
556417,987553493,25438,3162,1294,1,1035,1300150064,102.0,1.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Bez vzdělání,15 - 64 let,muž,Česká republika,stát
556418,987553494,19582,3162,1294,1,1035,1300150064,102.0,2.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Bez vzdělání,15 - 64 let,žena,Česká republika,stát
556420,987552406,3222,3162,1294,1,1035,1200659999,102.0,1.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Bez vzdělání,65 a více let,muž,Česká republika,stát
556421,987552407,7858,3162,1294,1,1035,1200659999,102.0,2.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Bez vzdělání,65 a více let,žena,Česká republika,stát
556423,987553485,46389,3162,1294,2,1035,1300150064,102.0,1.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Neúplné základní vzdělání,15 - 64 let,muž,Česká republika,stát
556424,987553486,37965,3162,1294,2,1035,1300150064,102.0,2.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Neúplné základní vzdělání,15 - 64 let,žena,Česká republika,stát
556426,987552398,6295,3162,1294,2,1035,1200659999,102.0,1.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Neúplné základní vzdělání,65 a více let,muž,Česká republika,stát
556427,987552399,21816,3162,1294,2,1035,1200659999,102.0,2.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Neúplné základní vzdělání,65 a více let,žena,Česká republika,stát
556429,987553372,339188,3162,1294,3,1035,1300150064,102.0,1.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Základní vzdělání,15 - 64 let,muž,Česká republika,stát
556430,987553373,353765,3162,1294,3,1035,1300150064,102.0,2.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Základní vzdělání,15 - 64 let,žena,Česká republika,stát
556432,987553617,51252,3162,1294,3,1035,1200659999,102.0,1.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Základní vzdělání,65 a více let,muž,Česká republika,stát
556433,987553725,251190,3162,1294,3,1035,1200659999,102.0,2.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Základní vzdělání,65 a více let,žena,Česká republika,stát
556435,987553368,370792,3162,1294,8,1035,1300150064,102.0,1.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Úplné střední všeobecné vzdělání,15 - 64 let,muž,Česká republika,stát
556436,987553369,514247,3162,1294,8,1035,1300150064,102.0,2.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Úplné střední všeobecné vzdělání,15 - 64 let,žena,Česká republika,stát
556438,987553613,74037,3162,1294,8,1035,1200659999,102.0,1.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Úplné střední všeobecné vzdělání,65 a více let,muž,Česká republika,stát
556439,987553614,162431,3162,1294,8,1035,1200659999,102.0,2.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Úplné střední všeobecné vzdělání,65 a více let,žena,Česká republika,stát
556441,987553487,36255,3162,1294,11,1035,1300150064,102.0,1.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vyšší odborné vzdělání,15 - 64 let,muž,Česká republika,stát
556442,987553488,79581,3162,1294,11,1035,1300150064,102.0,2.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vyšší odborné vzdělání,15 - 64 let,žena,Česká republika,stát
556444,987552400,4988,3162,1294,11,1035,1200659999,102.0,1.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vyšší odborné vzdělání,65 a více let,muž,Česká republika,stát
556445,987552401,5166,3162,1294,11,1035,1200659999,102.0,2.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vyšší odborné vzdělání,65 a více let,žena,Česká republika,stát
556447,987553366,127861,3162,1294,12,1035,1300150064,102.0,1.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vysokoškolské bakalářské vzdělání,15 - 64 let,muž,Česká republika,stát
556448,987553367,198063,3162,1294,12,1035,1300150064,102.0,2.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vysokoškolské bakalářské vzdělání,15 - 64 let,žena,Česká republika,stát
556450,987553611,2244,3162,1294,12,1035,1200659999,102.0,1.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vysokoškolské bakalářské vzdělání,65 a více let,muž,Česká republika,stát
556451,987553612,2821,3162,1294,12,1035,1200659999,102.0,2.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vysokoškolské bakalářské vzdělání,65 a více let,žena,Česká republika,stát
556453,987553364,426976,3162,1294,13,1035,1300150064,102.0,1.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vysokoškolské magisterské vzdělání,15 - 64 let,muž,Česká republika,stát
556454,987553365,502231,3162,1294,13,1035,1300150064,102.0,2.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vysokoškolské magisterské vzdělání,15 - 64 let,žena,Česká republika,stát
556456,987553609,123723,3162,1294,13,1035,1200659999,102.0,1.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vysokoškolské magisterské vzdělání,65 a více let,muž,Česká republika,stát
556457,987553610,91402,3162,1294,13,1035,1200659999,102.0,2.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vysokoškolské magisterské vzdělání,65 a více let,žena,Česká republika,stát
556459,987553362,33317,3162,1294,14,1035,1300150064,102.0,1.0,97,19,2021,2021-03-26,Počet obyvatel s obvyklým pobytem ve věku 15 a více let,Vysokoškolské doktorské vzdělání,15 - 64 let,muž,Česká republika,stát
